Disease,Product_Name,Product_Type,Body_part,Usage,Ingredients,Price,Product_Country,Remark,Link
Erythema,무스텔라 너리싱 Lotion 위드 콜드 Cream,Lotion,Body,보습&영양보충,"해바라기씨Oil, 아보카도 열매추출물(피부장벽보호, 수분공급), 세라마이드(피부장벽강화) 등","8,990원/200ml",프랑스,,https://smartstore.naver.com/motgyland/products/4896392591?NaPm=ct%3Dkb7ico2g%7Cci%3D893b8ad847f86f5480964b78d42c950f0eb9f284%7Ctr%3Dsls%7Csn%3D267663%7Chk%3Dc0380b69844e4ea14ff03a980aae90d77d2414e8
Erythema,아토러브 바디케어,Lotion,Body,보습&피부트러블완화,"편백추출물(진정), 쉐어버터(피부보습), E.G.F(탄력개선 보습), 세라마이드(피부장벽강화), 알로에베라(수분공급) 등","50,000원/500ml",한국,아토협회 추천제품,https://www.atolove.net/26/read?id=21265
Erythema,아토베니아 바이오 리후레싱 Lotion,Lotion,Body,보습,"세라마이드(피부지질장벽강화), 쉐어버터,(피부보습) 알란토인(피부보습/진정), 마카다미아씨Oil(피부보습)","17,180원/250ML",한국,,https://www.coupang.com/vp/products/6183407?itemId=27638602&vendorItemId=3041012613&q=%EC%95%84%ED%86%A0%ED%94%BC+%EB%B3%B4%EC%8A%B5%EC%A0%9C&itemsCount=36&searchId=b81d0127f7f0460ea96007e5f1b306ea&rank=1&isAddedCart=
Erythema,아토오겔 플러스 Cream,Cream,Face,보습,"세라마이드(피부지질장벽강화), 베타글루칸(진정효과 및 보습), 판테놀(수분 증발 방지)","33,250원/160g(2개)",한국,"약산성, EWG 그린등급",https://www.coupang.com/vp/products/1440727898?itemId=2484566759&vendorItemId=70477840866&q=%EC%95%84%ED%86%A0%ED%94%BC+%EB%B3%B4%EC%8A%B5%EC%A0%9C&itemsCount=36&searchId=b81d0127f7f0460ea96007e5f1b306ea&rank=7&isAddedCart=
Erythema,닥터바이오 에코Cream,Cream,Face,보습,"세라마이드(피부지질장벽강화), 판테놀(피부진정, 고보습), 마카다미아씨/해바라기씨 Oil(피부보습, 영양공급, 피부진정)","20,240원/300g",한국,,https://www.coupang.com/vp/products/193963306?itemId=555767667&vendorItemId=4460378183&pickType=COU_PICK&q=%EC%95%84%ED%86%A0%ED%94%BC+%EB%B3%B4%EC%8A%B5%EC%A0%9C&itemsCount=36&searchId=b81d0127f7f0460ea96007e5f1b306ea&rank=3&isAddedCart=
Erythema,사노산 베이비 케어 Cream,Cream,Face,피부보호 & 영양공급,"저분자 밀크프로틴(피부보습, 영양공급, 밸런스유지), 올리브Oil(수분공급, 피부안정, 피부보호), 알란토인(피부안정, 자극완화, 수분공급)","9,450원/150g",,,https://www.coupang.com/vp/products/8717784?itemId=79009345&vendorItemId=3133585565&q=%EC%95%84%ED%86%A0%ED%94%BC+%EB%B3%B4%EC%8A%B5%EC%A0%9C&itemsCount=36&searchId=b81d0127f7f0460ea96007e5f1b306ea&rank=31&isAddedCart=
Erythema,아토99 베이비 캐스틸 솝 사이프러스,BodayWash_Shampoo,Scalp,"보습, 진정","올리브 Oil, 코코넛 야자 Oil(보습), 해바라기씨 Oil, 아르간Oil(영양,보습), 명아주꽃(진정), 구아바잎(자극완화), 송악(진정)","25,000원/500ml",한국,,https://www.coupang.com/vp/products/1101200670?itemId=2061048990&vendorItemId=70060297491&q=%EC%95%84%ED%86%A099&itemsCount=21&searchId=bda1964205424d5aa561f0a9f0dc1fbf&rank=11&isAddedCart=
Erythema,Essence 17% 함유된 Essence Lotion 17,Lotion,Body,보습&영양보충,"오이열매추출물, 소나무추출물, 로얄Gel리, 병풀추출물, 참깨추추물 등","29,800원/100ML",한국,EWG 그린등급,http://atomu.co.kr/product/detail.html?product_no=126&cate_no=65&display_group=1
Erythema,알로페론 펩타이드 리페어 Cream,Cream,Face,피부재생효과 & 보습,"펩타이드 알로페론(피부의 재생효과),히알루론산(보습), 세라마이드(피부지질장벽강화)","18,000원/50mll",,,http://yesalloferon.co.kr/shop.php?goPage=GoodDetail&g_code=20200313123011457&cat_no=2&offset=
Erythema,아토플러스 천연재료 트러블 클리닉 Cream/Serum,Cream/Serum,Face,보습,"미나리 추출물, 식물유래성분","215,000원/50ml",한국,,https://smartstore.naver.com/ddoyu/products/4862137575?NaPm=ct%3Dkb7kvhcw%7Cci%3D4b18ecfe32e792d730c8ac272896a1516465912b%7Ctr%3Dsls%7Csn%3D1176110%7Chk%3D7ab75a513ceac3622079ab775bd00522b0868d1a
Erythema,오마베베 시카 레저렉션 Cream,Cream,Face,"피부진정, 유수분밸런스","병풀잎수/병풀추출물(피부진정 및 회복), 허브추출물(거친 피부완화), 히알루론산, 자작나무 유래 보습 콤플렉스 등","36,100원/50ml",한국,EWG 그린등급,https://www.coupang.com/vp/products/279447607?itemId=886822766&vendorItemId=5233115266&sourceType=srp_product_ads&q=%EC%98%A4%EB%A7%88%EB%B2%A0%EB%B2%A0&itemsCount=6&searchId=904bf82689d7476f8cdaf4f94250cda2&rank=0&isAddedCart=
Erythema,몽뜨허브 아트 바스앤Shampoo Lotion Cream,Cream,Face,"보습, 피부장벽강화, 진정","인동덩굴꽃(보습), 탱자(민감성피부, 피부탄력에 도움), 쇠비름(피부진정과 건강), 황기뿌리(피부보호 및 탄력 증가), 붉나무충영(보습)",,한국,,https://smartstore.naver.com/montherb/products/4873233255
Erythema,아토99 베이비 캐스틸 솝 프린세스 로즈,BodayWash_Shampoo,Scalp,"보습, 진정","올리브 Oil, 코코넛 야자 Oil(보습), 해바라기씨 Oil, 아르간Oil(영양,보습), 명아주꽃(진정), 구아바잎(자극완화), 송악(진정)","25,000원/500ml",한국,,https://www.coupang.com/vp/products/1101462958?itemId=2061427122&vendorItemId=70060666996&q=%EC%95%84%ED%86%A099&itemsCount=21&searchId=bda1964205424d5aa561f0a9f0dc1fbf&rank=12&isAddedCart=
Erythema,아토99 베이비 캐스틸 솝 화이트 머스크,BodayWash_Shampoo,Scalp,"보습, 진정","올리브 Oil, 코코넛 야자 Oil(보습), 해바라기씨 Oil, 아르간Oil(영양,보습), 명아주꽃(진정), 구아바잎(자극완화), 송악(진정)","25,000원/500ml",한국,,https://www.coupang.com/vp/products/1101462653?itemId=2061426517&vendorItemId=70060670223&q=%EC%95%84%ED%86%A099&itemsCount=21&searchId=bda1964205424d5aa561f0a9f0dc1fbf&rank=14&isAddedCart=
